2026-08-29 08:00:01 INFO  Application started
2026-08-29 08:00:02 INFO  Loading application configuration
2026-08-29 08:00:03 INFO  Database connection initialized
2026-08-29 08:00:04 INFO  Database connection successful
2026-08-29 08:00:05 INFO  HTTP server started on port 8080
2026-08-29 08:01:10 INFO  User login successful user=alice
2026-08-29 08:01:12 INFO  GET /api/users status=200
2026-08-29 08:01:15 INFO  GET /api/products status=200
2026-08-29 08:02:03 INFO  User login successful user=bob
2026-08-29 08:02:05 INFO  GET /api/orders status=200
2026-08-29 08:02:08 INFO  POST /api/orders status=201
2026-08-29 08:03:11 INFO  Payment initiated order=1001
2026-08-29 08:03:15 INFO  Payment completed order=1001
2026-08-29 08:04:02 INFO  GET /api/products/101 status=200
2026-08-29 08:04:12 INFO  User logout user=alice
2026-08-29 08:05:01 INFO  Scheduled job started name=cleanup
2026-08-29 08:05:05 INFO  Scheduled job completed name=cleanup
2026-08-29 08:06:20 WARN  Slow response endpoint=/api/reports duration=2400ms
2026-08-29 08:07:01 INFO  GET /api/reports status=200
2026-08-29 08:08:17 INFO  User login successful user=charlie
2026-08-29 08:08:22 INFO  GET /api/dashboard status=200
2026-08-29 08:09:03 ERROR Database query failed table=orders error=timeout
2026-08-29 08:09:05 INFO  Database connection retry attempt=1
2026-08-29 08:09:07 INFO  Database connection successful
2026-08-29 08:10:12 INFO  GET /api/orders status=200
2026-08-29 08:11:45 WARN  Invalid request parameter user=bob parameter=page
2026-08-29 08:12:01 INFO  GET /api/products status=200
2026-08-29 08:12:22 INFO  POST /api/cart status=200
2026-08-29 08:13:10 INFO  POST /api/orders status=201
2026-08-29 08:13:15 INFO  Payment initiated order=1002
2026-08-29 08:13:19 ERROR Payment failed order=1002 reason=insufficient_funds
2026-08-29 08:13:21 INFO  Payment retry scheduled order=1002
2026-08-29 08:14:02 INFO  User logout user=bob
2026-08-29 08:15:00 INFO  Scheduled job started name=backup
2026-08-29 08:15:32 INFO  Scheduled job completed name=backup
2026-08-29 08:16:45 INFO  User login successful user=david
2026-08-29 08:17:02 INFO  GET /api/profile status=200
2026-08-29 08:17:33 INFO  PUT /api/profile status=200
2026-08-29 08:18:11 WARN  Authentication failed user=unknown
2026-08-29 08:18:15 WARN  Authentication failed user=unknown
2026-08-29 08:18:19 WARN  Authentication failed user=unknown
2026-08-29 08:18:25 ERROR Account temporarily locked user=unknown
2026-08-29 08:19:01 INFO  GET /api/products status=200
2026-08-29 08:20:10 INFO  GET /api/categories status=200
2026-08-29 08:21:15 INFO  User login successful user=alice
2026-08-29 08:22:03 INFO  GET /api/orders status=200
2026-08-29 08:22:30 INFO  GET /api/orders/1001 status=200
2026-08-29 08:23:44 WARN  Cache miss key=product:101
2026-08-29 08:23:46 INFO  Cache populated key=product:101
2026-08-29 08:24:01 INFO  GET /api/products/101 status=200
2026-08-29 08:25:17 ERROR File upload failed filename=invoice.pdf
2026-08-29 08:26:05 INFO  File upload successful filename=profile.jpg
